ASIN,Title,Binding,Creator,Edition,Author,ItemDimensionsHeight,ItemDimensionsLength,ItemDimensionsWidth,ItemDimensionsWeight,Label,LanguagesUnknown,LanguagesOriginal,LanguagesPublished,Amount,CurrencyCode,Manufacturer,NumberOfPages,PackageDimensionsHeight,PackageDimensionsLength,PackageDimensionsWidth,PackageDimensionsWeight,ProductGroup,ProductTypeName,PublicationDate,Publisher,SmallImageUrl,Studio,SalesRanking
1491708433,"Combat Medic: Nonfiction, None Needed",Paperback," "," ","Parker, Vernon L.",8.86,0.39,5.91,5.91,iUniverse,english,english,english,15.95,USD,iUniverse,178,0.45,9.00,6.00,0.72,Book,ABIS_BOOK,2013-12-11,iUniverse,http://ecx.images-amazon.com/images/I/51aJAhm%2BjzL._SL75_.jpg,iUniverse,4198223
1491708441,"Horse Bound: The View from the Top of Mount Manure",Paperback," "," ","Friedman, Joanne M.",8.86,0.24,5.91,5.91,iUniverse,english,english,english,12.95,USD,iUniverse,116,0.27,9.00,6.00,0.51,Book,ABIS_BOOK,2013-10-30,iUniverse,http://ecx.images-amazon.com/images/I/51BlzMkaGdL._SL75_.jpg,iUniverse,1465748
1491708468,"Signals from a Lampless Beacon: A Great City",Paperback," "," ","Traywick, Paul",8.86,0.71,5.91,5.91,iUniverse,english,english,english,18.95,USD,iUniverse,310,0.78,9.00,6.00,1.18,Book,ABIS_BOOK,2013-11-01,iUniverse,http://ecx.images-amazon.com/images/I/51ZajstxmkL._SL75_.jpg,iUniverse,874514
1491708484,"The Mentor: Leading with Love: The Ultimate Resource",Paperback," "," ","Hammond, Jan",8.90,0.43,5.91,5.91,iUniverse,english,english,english,14.95,USD,iUniverse,200,0.46,9.00,6.00,0.80,Book,ABIS_BOOK,2013-11-01,iUniverse,http://ecx.images-amazon.com/images/I/412-SDaCyLL._SL75_.jpg,iUniverse,1091712
1491708492,"The Mentor: Leading with Love: The Ultimate Resource",Hardcover," "," ","Hammond, Jan",8.90,0.63,5.91,5.91,iUniverse.com,english,english,english,24.95,USD,iUniverse.com,200,0.94,9.21,6.22,1.06,Book,ABIS_BOOK,2013-10-31,iUniverse.com,http://ecx.images-amazon.com/images/I/41U7JWpEoHL._SL75_.jpg,iUniverse.com,487347
1491708514,"Deceit Deserves Revenge II",Paperback," "," ","Williams, Lucy B.",8.39,0.67,5.43,5.43,iUniverse,english,english,english,18.95,USD,iUniverse,304,0.76,8.50,5.50,1.02,Book,ABIS_BOOK,2013-10-21,iUniverse,http://ecx.images-amazon.com/images/I/51I9UAR-EVL._SL75_.jpg,iUniverse," "
1491708530,"Deceit Deserves Revenge II",Hardcover," "," ","Williams, Lucy B.",8.39,0.79,5.43,5.43,iUniverse.com,english,english,english,28.95,USD,iUniverse.com,304,0.81,8.50,5.51,1.15,Book,ABIS_BOOK,2013-10-21,iUniverse.com,http://ecx.images-amazon.com/images/I/519ozX1MaWL._SL75_.jpg,iUniverse.com," "
149170862X,"Living Inspired Now: A Gift of Love and Inspiration",Paperback," "," ","Premont, Shirley Colihan",8.86,0.20,5.91,5.91,iUniverse,english,english,english,12.00,USD,iUniverse,94,0.22,9.00,6.00,0.43,Book,ABIS_BOOK,2013-11-01,iUniverse,http://ecx.images-amazon.com/images/I/41Uq-o%2BeDRL._SL75_.jpg,iUniverse,406627
1491708735,"(Hindi Edition)",Paperback," "," ","Agrawal, Jagdish"," "," "," "," ",iUniverse,hindi,hindi," ",9.95,USD,iUniverse,52,0.12,9.00,6.00,0.29,Book,ABIS_BOOK,2013-10-10,iUniverse,http://ecx.images-amazon.com/images/I/513cUEV8NdL._SL75_.jpg,iUniverse," "
1491708786,"Emotionally Abusive Husbands and Boyfriends: Learn about their Mentally Abusive Behavior So You Don't End Up Crazy!",Paperback," "," ","Cook, Sharon Walsh",8.86,0.24,5.91,5.91,iUniverse,english,english,english,11.95,USD,iUniverse,90,0.23,9.00,6.00,0.42,Book,ABIS_BOOK,2013-10-25,iUniverse,http://ecx.images-amazon.com/images/I/41cVFn3S8LL._SL75_.jpg,iUniverse,1605156
1491708808,"So Far from Home: Krystyna Stachowicz Slowikowska Zukian Farley A Memoir",Paperback,"Farley, Krystyna Stachowicz"," ","Knope, Ann",8.86,0.20,5.91,5.91,iUniverse,english,english,english,10.95,USD,iUniverse,86,0.20,9.00,6.00,0.40,Book,ABIS_BOOK,2013-10-02,iUniverse,http://ecx.images-amazon.com/images/I/51yCwCGicdL._SL75_.jpg,iUniverse,2206114
1491708859,"Thoughts: Eighty and Still Learning",Paperback," "," ","Presslaff, Ira",8.90,1.42,5.91,5.91,iUniverse,english,english,english,38.95,USD,iUniverse,724,1.64,9.00,6.00,2.61,Book,ABIS_BOOK,2013-12-13,iUniverse,http://ecx.images-amazon.com/images/I/51NtGrZhncL._SL75_.jpg,iUniverse," "
1491708875,"Thoughts: Eighty and Still Learning",Hardcover," "," ","Presslaff, Ira",8.90,1.73,5.91,5.91,iUniverse.com,english,english,english,48.95,USD,iUniverse.com,724,1.75,9.02,5.98,2.70,Book,ABIS_BOOK,2013-12-11,iUniverse.com,http://ecx.images-amazon.com/images/I/51eV6gxU16L._SL75_.jpg,iUniverse.com," "
1491709014,"Be Strong: A Memoir of Bereavement",Paperback," "," ","Ekwommadu, Joy",8.39,0.28,5.43,5.43,iUniverse,english,english,english,11.95,USD,iUniverse,130,0.30,8.50,5.50,0.49,Book,ABIS_BOOK,2013-10-30,iUniverse,http://ecx.images-amazon.com/images/I/41f9yTif88L._SL75_.jpg,iUniverse," "
1491709030,"Be Strong: A Memoir of Bereavement",Hardcover," "," ","Ekwommadu, Joy",8.39,0.43,5.43,5.43,iUniverse.com,english,english,english,21.95,USD,iUniverse.com,130,0.44,8.50,5.51,0.70,Book,ABIS_BOOK,2013-10-29,iUniverse.com,http://ecx.images-amazon.com/images/I/41v%2BdKUBM5L._SL75_.jpg,iUniverse.com," "
1491709057,"Welcome to Iran!: Christian Encounters with Shia Muslims",Paperback," "," ","Shellenberger, Evelyn",8.39,0.39,5.43,5.43,iUniverse,english,english,english,16.95,USD,iUniverse,182,0.55,8.43,5.51,0.53,Book,ABIS_BOOK,2013-11-08,iUniverse,http://ecx.images-amazon.com/images/I/51SpJy7VwTL._SL75_.jpg,iUniverse,120994
1491709065,"Welcome to Iran!: Christian Encounters with Shia Muslims",Hardcover," "," ","Evelyn Shellenberger",8.39,0.55,5.43,5.43,iUniverse.com,english,english,english,26.95,USD,iUniverse.com,182,0.94,8.58,5.83,0.84,Book,ABIS_BOOK,2013-11-06,iUniverse.com,http://ecx.images-amazon.com/images/I/51i-bWWN-bL._SL75_.jpg,iUniverse.com,3697833
1491709081,"Emotional Transition: A Journey of the Human Spirit",Paperback," "," ","Interlande, Vincent J.",8.86,0.83,5.91,5.91,iUniverse,english,english,english,24.95,USD,iUniverse,370,0.93,9.00,6.00,1.39,Book,ABIS_BOOK,2013-10-08,iUniverse,http://ecx.images-amazon.com/images/I/41tNkqzV1GL._SL75_.jpg,iUniverse,4222228
1491709103,"Emotional Transition: A Journey of the Human Spirit",Hardcover," "," ","Interlande, Vincent J.",8.86,0.94,5.91,5.91,iUniverse.com,english,english,english,34.95,USD,iUniverse.com,370,0.94,9.02,5.98,1.54,Book,ABIS_BOOK,2013-10-08,iUniverse.com,http://ecx.images-amazon.com/images/I/41szVI0GaML._SL75_.jpg,iUniverse.com," "
1491709111,"I'm Talking to You: About Thought-Provoking Events and Places",Paperback," "," ","Dunton, R. Nathaniel",8.39,0.28,5.43,5.43,iUniverse,english,english,english,11.95,USD,iUniverse,130,0.30,8.50,5.50,0.49,Book,ABIS_BOOK,2013-10-29,iUniverse,http://ecx.images-amazon.com/images/I/519vb4QU-SL._SL75_.jpg,iUniverse,3089685
149170912X,"I'm Talking to You: About Thought-Provoking Events and Places",Hardcover," "," ","Dunton, R. Nathaniel",8.39,0.43,5.43,5.43,iUniverse.com,english,english,english,21.95,USD,iUniverse.com,130,0.44,8.50,5.51,0.67,Book,ABIS_BOOK,2013-10-29,iUniverse.com,http://ecx.images-amazon.com/images/I/51buD2ukHRL._SL75_.jpg,iUniverse.com," "
1491709146,"The Bribe",Paperback," "," ","Klausenstock, Oskar",8.39,0.59,5.43,5.43,iUniverse,english,english,english,17.95,USD,iUniverse,286,0.65,8.50,5.50,0.96,Book,ABIS_BOOK,2013-09-23,iUniverse,http://ecx.images-amazon.com/images/I/51pZfe4YhrL._SL75_.jpg,iUniverse,5136833
1491709154,"The Bribe",Hardcover," "," ","Klausenstock, Oskar",8.39,0.79,5.43,5.43,iUniverse.com,english,english,english,27.95,USD,iUniverse.com,286,0.81,8.50,5.51,1.10,Book,ABIS_BOOK,2013-09-23,iUniverse.com,http://ecx.images-amazon.com/images/I/51xx%2Bv3AQoL._SL75_.jpg,iUniverse.com," "
1491709170,"Off Go Their Engines, Off Go Their Lights",Paperback," "," ","Milusich, Janice",9.09,0.12,7.40,7.40,iUniverse,english,english,english,8.95,USD,iUniverse,48,0.11,9.25,7.50,0.32,Book,ABIS_BOOK,2014-01-03,iUniverse,http://ecx.images-amazon.com/images/I/51KQ3gOe29L._SL75_.jpg,iUniverse,1301530
1491709189,"Hiker and the Stranger",Paperback," "," ","Young, C. E.",8.86,0.71,5.91,5.91,iUniverse,english,english,english,18.95,USD,iUniverse,310,0.90,8.90,6.00,0.30,Book,ABIS_BOOK,2013-11-01,iUniverse,http://ecx.images-amazon.com/images/I/51r7VW7f1fL._SL75_.jpg,iUniverse,2856137
1491709197,"Hiker and the Stranger",Hardcover," "," ","Young, C. E.",8.86,0.79,5.91,5.91,iUniverse.com,english,english,english,28.95,USD,iUniverse.com,310,1.10,9.10,6.30,1.30,Book,ABIS_BOOK,2013-11-01,iUniverse.com,http://ecx.images-amazon.com/images/I/51r6YA4%2BdTL._SL75_.jpg,iUniverse.com,3715792
1491709359,"Ease: Manage Overwhelm in Times of ""Crazy Busy""",Paperback," "," ","Chadnick, Eileen",0.34,9.00,6.00,6.00,iUniverse,english,english,english,15.95,USD,iUniverse,146,0.47,8.98,5.98,0.44,Book,ABIS_BOOK,2013-11-01,iUniverse,http://ecx.images-amazon.com/images/I/41KbNMl-9CL._SL75_.jpg,iUniverse,2115289
1491709375,"Ease: Manage Overwhelm in Times of Crazy Busy",Hardcover," "," ","Chadnick, Eileen",8.86,0.51,5.91,5.91,iUniverse.com,english,english,english,25.95,USD,iUniverse.com,146,0.80,9.10,5.70,1.45,Book,ABIS_BOOK,2013-10-31,iUniverse.com,http://ecx.images-amazon.com/images/I/417HOIAXsqL._SL75_.jpg,iUniverse.com,3183835
1491709499,"Do Not Resuscitate: The Marvelous Beauhunks: (Cautionary Tales From the Best-Looking Band in the World)",Paperback,"Wright, Stephen C."," "," ",8.90,0.91,5.91,5.91,iUniverse,english,english,english,25.95,USD,iUniverse,408,1.02,9.00,6.00,1.52,Book,ABIS_BOOK,2013-11-12,iUniverse,http://ecx.images-amazon.com/images/I/51pGOaJ9X3L._SL75_.jpg,iUniverse," "
1491709502,"I Want Your Body, Candy Starr",Paperback," "," ","Kempinski, Tom",7.87,0.35,4.92,4.92,iUniverse,english,english,english,13.95,USD,iUniverse,170,0.39,8.00,5.00,0.54,Book,ABIS_BOOK,2013-10-02,iUniverse,http://ecx.images-amazon.com/images/I/51cqXPebr0L._SL75_.jpg,iUniverse," "
1491709537,"Stein House",Hardcover," "," ","McIlvain, Myra Hargrave",8.86,0.79,5.91,5.91,iUniverse.com,english,english,english,28.95,USD,iUniverse.com,302,0.81,9.02,5.98,1.32,Book,ABIS_BOOK,2013-10-18,iUniverse.com,http://ecx.images-amazon.com/images/I/51IW5fyR3KL._SL75_.jpg,iUniverse.com,1005244
1491709545,"Stein House",Paperback," "," ","McIlvain, Myra Hargrave",8.86,0.67,5.91,5.91,iUniverse,english,english,english,18.95,USD,iUniverse,302,0.76,9.00,6.00,1.15,Book,ABIS_BOOK,2013-10-18,iUniverse,http://ecx.images-amazon.com/images/I/51LAlW-3cfL._SL75_.jpg,iUniverse,1184361
1491709596,"Corky Bonner",Hardcover," "," ","Tomashek, John J.",8.86,1.06,5.91,5.91,iUniverse.com,english,english,english,32.95,USD,iUniverse.com,412,1.65,9.13,6.38,1.72,Book,ABIS_BOOK,2013-10-31,iUniverse.com,http://ecx.images-amazon.com/images/I/41G%2BT3wU9RL._SL75_.jpg,iUniverse.com,6518943
149170960X,"Corky Bonner",Paperback," "," ","Tomashek, John J.",8.86,0.91,5.91,5.91,iUniverse,english,english,english,22.95,USD,iUniverse,412,1.10,8.82,5.91,0.93,Book,ABIS_BOOK,2013-11-01,iUniverse,http://ecx.images-amazon.com/images/I/41%2BsLqFnxoL._SL75_.jpg,iUniverse,1116358
