ASIN,Title,Binding,Creator,Edition,Author,ItemDimensionsHeight,ItemDimensionsLength,ItemDimensionsWidth,ItemDimensionsWeight,Label,LanguagesUnknown,LanguagesOriginal,LanguagesPublished,Amount,CurrencyCode,Manufacturer,NumberOfPages,PackageDimensionsHeight,PackageDimensionsLength,PackageDimensionsWidth,PackageDimensionsWeight,ProductGroup,ProductTypeName,PublicationDate,Publisher,SmallImageUrl,Studio,SalesRanking
1491826460,"Prisoner of the Highway",Paperback," "," ","Johnson, Paulie J.",8.86,0.79,5.91,5.91,AuthorHouse,english,english,english,23.95,USD,AuthorHouse,352,0.88,9.00,6.00,1.32,Book,ABIS_BOOK,2013-11-01,AuthorHouse,http://ecx.images-amazon.com/images/I/511H5D27zlL._SL75_.jpg,AuthorHouse," "
1491826568,"Mother Nature's Garden: Healthy Vegan Cooking",Paperback," "," ","Bienenfeld, Florence",10.87,0.75,8.15,8.15,AuthorHouse,english,english,english,27.95,USD,AuthorHouse,362,0.82,11.00,8.25,2.21,Book,ABIS_BOOK,2013-11-08,AuthorHouse,http://ecx.images-amazon.com/images/I/51J7zAKGwzL._SL75_.jpg,AuthorHouse,2950902
1491826762,"THE 1ST FIGHTING IRISH: The 35th Indiana Volunteer Infantry:  Hoosier Hibernians in the War for the Union",Hardcover," "," ","Murray, Kevin",8.90,0.51,5.91,5.91,AuthorHouse,english,english,english,23.99,USD,AuthorHouse,154,0.80,9.10,6.10,0.85,Book,ABIS_BOOK,2013-12-05,AuthorHouse,http://ecx.images-amazon.com/images/I/41tVWIU5taL._SL75_.jpg,AuthorHouse,5388438
1491826770,"The 1st Fighting Irish: The 35Th Indiana Volunteer Infantry: Hoosier Hibernians in the War for the Union",Paperback," "," ","Murray, Kevin Charles",8.86,0.35,5.91,5.91,AuthorHouse,english,english,english,14.95,USD,AuthorHouse,154,0.39,9.00,6.00,0.64,Book,ABIS_BOOK,2013-12-05,AuthorHouse,http://ecx.images-amazon.com/images/I/41d3AP9yRBL._SL75_.jpg,AuthorHouse,2896214
1491826843,"Coffee, Chocolate, Tea, Soda Replaced",Paperback," "," ","Huck, Frederick Mickel",10.83,0.35,8.11,8.11,AuthorHouse,english,english,english,16.95,USD,AuthorHouse,158,0.36,11.00,8.25,1.02,Book,ABIS_BOOK,2013-11-27,AuthorHouse,http://ecx.images-amazon.com/images/I/51kWjJYwELL._SL75_.jpg,AuthorHouse," "
1491826894,"Fatal Choices: A Novel",Hardcover," "," ","Zalenski, Cathy Ann",0.63,9.00,6.00,6.00,AuthorHouse,english,english,english,27.99,USD,AuthorHouse,202,0.63,9.02,5.98,1.00,Book,ABIS_BOOK,2014-01-09,AuthorHouse,http://ecx.images-amazon.com/images/I/51SUndNdpoL._SL75_.jpg,AuthorHouse,1924074
1491826908,"Fatal Choices: A Novel",Paperback," "," ","Zalenski, Cathy Ann",8.86,0.47,5.91,5.91,AuthorHouse,english,english,english,16.95,USD,AuthorHouse,202,0.51,9.00,6.00,0.80,Book,ABIS_BOOK,2014-01-10,AuthorHouse,http://ecx.images-amazon.com/images/I/51R9R-TDh0L._SL75_.jpg,AuthorHouse," "
1491827130,"The MOTs File: Memories, Observations, and Thoughts",Paperback," "," ","Faust, Judy",8.86,0.35,5.91,5.91,AuthorHouse,english,english,english,14.95,USD,AuthorHouse,152,0.38,9.00,6.00,0.63,Book,ABIS_BOOK,2013-10-18,AuthorHouse,http://ecx.images-amazon.com/images/I/51-Komm903L._SL75_.jpg,AuthorHouse," "
1491827203,"20,000 Leagues Over the Bounding Main: The Log of a Sailor",Paperback," "," ","Brown, Arthur Merrill",8.90,0.35,5.91,5.91,AuthorHouse,english,english,english,14.95,USD,AuthorHouse,158,0.40,9.00,6.00,0.65,Book,ABIS_BOOK,2014-01-17,AuthorHouse,http://ecx.images-amazon.com/images/I/41WKmYTq-aL._SL75_.jpg,AuthorHouse," "
1491827211,"Scripture Study Journal: Faith-Faithful-Faithfulness",Paperback," "," ","Rider, Joy"," "," "," "," ",AuthorHouse,english,english,english,13.95,USD,AuthorHouse,96,0.23,9.02,5.98,0.34,Book,ABIS_BOOK,2014-01-31,AuthorHouse,http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._V192198896_.gif,AuthorHouse," "
